,city name,temp,wind speed,country,cloudiness,humidity,longitude,latitiude,date
0,Bredasdorp,64.4,8.05,ZA,100,68,20.04,-34.53,1578283695
1,Provideniya,-11.09,8.1,RU,83,72,-173.23,64.42,1578283704
2,Hamilton,34.0,13.87,CA,90,94,-79.87,43.26,1578283803
3,New Norfolk,77.0,18.34,AU,20,49,147.06,-42.78,1578284234
4,Stepnogorsk,15.96,8.39,KZ,22,93,71.88,52.35,1578284235
5,Hithadhoo,84.33,12.73,MV,100,73,73.08,-0.6,1578283890
6,Naron,41.0,8.05,ES,0,100,-8.15,43.52,1578284235
7,Rikitea,76.28,16.04,PF,52,76,-134.97,-23.12,1578283876
8,Puerto Ayora,75.99,5.99,EC,0,82,-90.35,-0.74,1578284236
9,Avarua,80.6,5.82,CK,100,88,-159.78,-21.21,1578283708
10,Hermanus,63.0,9.78,ZA,100,89,19.24,-34.42,1578283885
11,Albany,27.0,3.36,US,20,68,-73.75,42.65,1578283624
12,Cranbrook,30.2,6.93,CA,90,86,-115.76,49.51,1578284237
13,Khatanga,-2.85,5.68,RU,99,98,102.47,71.98,1578283704
14,Lebu,53.6,8.05,ET,20,76,38.73,8.96,1578283894
15,Barrow,61.7,7.25,AR,100,89,-60.23,-38.31,1578283701
16,Ahipara,71.01,4.0,NZ,3,69,173.16,-35.17,1578283797
17,Vila Velha,86.0,5.82,BR,75,78,-38.6,-3.71,1578284238
18,Carnarvon,58.98,7.38,ZA,69,82,22.13,-30.97,1578283696
19,Mataura,48.99,24.0,NZ,100,88,168.86,-46.19,1578283692
20,Butaritari,85.01,17.43,KI,100,75,172.79,3.07,1578283888
21,Busselton,91.99,11.43,AU,23,12,115.35,-33.64,1578284239
22,Qaanaaq,-25.26,2.95,GL,74,51,-69.36,77.48,1578283694
23,Touros,78.8,3.36,BR,40,83,-35.46,-5.2,1578284240
24,Cherskiy,-9.81,4.23,RU,1,63,161.3,68.75,1578283700
25,Leningradskiy,-9.13,3.71,RU,0,65,178.42,69.38,1578283804
26,Mitzic,69.6,2.13,GA,34,92,11.55,0.78,1578284241
27,Cape Town,63.0,8.05,ZA,20,72,18.42,-33.93,1578284043
28,Atuona,79.9,10.71,PF,63,78,-139.03,-9.8,1578283897
29,Ushuaia,46.4,24.16,AR,75,75,-68.31,-54.81,1578283875
30,Hilo,73.4,4.7,US,90,78,-155.08,19.71,1578283628
31,Luwuk,78.48,12.35,ID,100,83,122.79,-0.95,1578284243
32,Yar-Sale,10.06,14.61,RU,0,89,70.83,66.83,1578283818
33,Bluff,90.79,13.69,AU,74,38,149.07,-23.58,1578284243
34,Kodiak,35.6,6.93,US,1,59,-94.76,39.95,1578283473
35,Praia da Vitoria,64.4,20.18,PT,75,77,-27.07,38.73,1578284243
36,Kapaa,80.6,18.34,US,75,78,-159.32,22.08,1578283856
37,Mount Vernon,35.01,4.61,US,90,86,-77.1,38.73,1578284244
38,Harper,46.99,0.94,US,1,52,-99.24,30.3,1578284244
39,Pevek,-7.29,3.85,RU,0,80,170.27,69.7,1578284244
40,East London,68.0,3.36,ZA,20,94,27.91,-33.02,1578284131
41,Namatanai,85.84,8.95,PG,87,71,152.44,-3.66,1578283795
42,Jamestown,73.4,0.31,AU,82,55,138.6,-33.21,1578284245
43,Beloha,72.79,10.8,MG,33,85,45.06,-25.17,1578283525
44,Tasiilaq,20.64,38.86,GL,100,90,-37.64,65.61,1578283693
45,Meulaboh,80.6,5.77,ID,29,76,96.13,4.14,1578283737
46,Cabedelo,78.8,4.7,BR,75,83,-34.84,-6.97,1578283704
47,Conde,80.51,14.05,BR,100,80,-37.61,-11.81,1578283821
48,Thompson,6.8,8.05,CA,90,84,-97.86,55.74,1578283898
49,Riyadh,44.6,4.7,SA,0,87,46.72,24.63,1578283736
50,Kruisfontein,63.05,3.0,ZA,100,87,24.73,-34.0,1578283901
51,Kattivakkam,79.0,3.36,IN,75,94,80.32,13.22,1578284247
52,Kavaratti,82.4,7.2,IN,20,65,72.64,10.57,1578284248
53,Graciano Sanchez,51.03,3.51,MX,0,64,-99.28,23.92,1578284248
54,Baykit,8.55,4.38,RU,98,97,96.39,61.68,1578284249
55,Karratha,87.49,6.98,AU,100,64,116.85,-20.74,1578283876
56,Ixtapa,68.0,2.24,MX,5,72,-105.21,20.71,1578284249
57,Kanniyakumari,80.29,26.51,IN,36,80,77.57,8.08,1578284107
58,Cabinda,80.82,5.3,AO,82,82,12.19,-5.56,1578284250
59,Chuy,69.55,11.83,UY,0,85,-53.46,-33.69,1578284250
60,Dwarka,64.0,2.98,IN,75,93,77.04,28.58,1578284250
61,Dingle,79.36,16.37,PH,97,85,122.67,11.0,1578283811
62,Tias,64.4,12.75,ES,18,63,-13.65,28.96,1578284251
63,Esperance,93.2,10.29,AU,0,13,121.89,-33.86,1578283779
64,Vaini,69.8,5.82,IN,75,83,74.49,15.34,1578284251
65,Avera,45.0,7.47,US,1,67,-82.53,33.19,1578283787
66,Lasa,60.8,17.22,CY,75,77,32.53,34.92,1578283810
67,Nikolskoye,27.0,8.95,RU,75,79,30.79,59.7,1578283709
68,Port Alfred,69.01,3.13,ZA,99,94,26.89,-33.59,1578284253
69,Dalbandin,55.36,5.21,PK,100,91,64.41,28.9,1578284253
70,Alanya,51.8,11.41,TR,75,87,32.0,36.55,1578284253
71,Dikson,17.19,16.11,RU,100,94,80.55,73.51,1578283696
72,Fortuna,43.0,6.93,US,75,100,-124.16,40.6,1578283697
73,Tagusao,82.09,12.82,PH,100,72,117.81,9.19,1578284254
74,Burnie,69.01,11.99,AU,0,50,145.91,-41.05,1578283790
75,Tuktoyaktuk,-23.8,4.7,CA,20,67,-133.03,69.44,1578283925
76,Oranjemund,59.0,4.9,ZA,12,93,16.43,-28.55,1578284254
77,Christchurch,68.0,11.41,NZ,100,36,172.64,-43.53,1578284018
78,Georgetown,68.0,2.24,GY,0,94,-58.16,6.8,1578283715
79,Mount Gambier,73.4,16.11,AU,0,43,140.78,-37.83,1578284255
80,Fukue,51.01,3.36,JP,20,45,136.69,35.03,1578284255
81,Veraval,37.0,3.36,FR,0,93,0.71,49.65,1578284255
82,Morondava,76.35,1.63,MG,0,86,44.28,-20.3,1578284255
83,San Quintin,83.32,5.12,PH,0,53,120.52,17.54,1578284256
84,Bethel,-16.6,8.05,US,1,68,-161.76,60.79,1578284214
85,Upernavik,-30.44,15.59,GL,94,96,-56.15,72.79,1578283581
86,Fairbanks,-15.0,2.15,US,90,67,-147.72,64.84,1578283765
87,Port Elizabeth,37.99,4.94,US,75,59,-74.98,39.31,1578284257
88,Nalut,49.51,10.54,LY,55,83,10.98,31.86,1578284257
